time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.3200000000000007,-0.0745531885634,0.0531391899625,12.1889465423,0.0359618879348,6.27716223036,0.0,-0.0972454239812,0.163856850291,3.29008889341,0.0512517836484,-0.0354945953231,0.0,446.97618252539695,449.06194549798033,447.95945031388993,447.2252272300341
1.3800000000000008,-0.0802385228697,0.0638234741661,12.3920353137,0.0388916563993,6.27493191817,0.0,-0.0920186575119,0.192611455612,3.47896476134,0.0434837444415,-0.0407563100257,0.0,474.4836659438376,474.0789808478611,474.53408015718657,473.9386943478646
1.4400000000000008,-0.0855898200169,0.0761538228424,12.6027589191,0.0414097575405,6.27308615693,0.0,-0.0861566284107,0.218640363516,3.54493850596,0.0387518668045,-0.015919338407,0.0,436.1155579634894,438.1847965394806,438.6583374952287,438.26617554512944
1.5000000000000009,-0.0905166902691,0.0902626579993,12.8214605623,0.0433540650064,6.27235219297,0.0,-0.0779811565733,0.251881497189,3.74446854103,0.0150218024396,-0.00572555425137,0.0,479.1802062890578,479.9546516367906,479.27656592936023,477.4698197479771
1.560000000000001,-0.0950364657942,0.106013198226,13.0431155172,0.0445684850707,6.27213859559,0.0,-0.0726543113868,0.273227475044,3.64434803105,0.0290391609195,0.000453301396495,0.0,383.27890523287726,383.86581410404744,382.20864123594157,383.5424303519142
1.620000000000001,-0.0991834453608,0.123270719104,13.263362964,0.0461122486168,6.27203322285,0.0,-0.0655766619184,0.302171455507,3.6970523822,0.0181166609427,-0.0065888564665,0.0,435.23874510134686,434.64896293034246,435.0008027461889,434.08527969368765
1.680000000000001,-0.102831453116,0.142584023522,13.4930679837,0.0467709485826,6.27159320363,0.0,-0.0559806549493,0.341681497082,3.95890033118,-0.00978737071089,-0.00886653423941,0.0,497.7383249495067,497.5717190833611,499.0141494845353,496.9729077491605
1.740000000000001,-0.105925972214,0.164140184481,13.735562646,0.0457328790934,6.27068690399,0.0,-0.047101398408,0.376745610565,4.12367304467,-0.0398670253118,-0.0320664236756,0.0,472.5965662179476,470.80492424080626,472.55495827493667,470.2304062656279
1.8000000000000012,-0.108471553741,0.187733070339,13.9871573733,0.0435455769861,6.2688108257,0.0,-0.0375531793789,0.40941206071,4.26231611564,-0.0303821961793,-0.0297173379227,0.0,464.4012056337191,464.58514589109353,464.96261317826526,465.7045911542282
1.8600000000000012,-0.110421371961,0.213188031146,14.2458803085,0.0414445989988,6.26660372342,0.0,-0.0272493876152,0.438869492617,4.36141130801,-0.0464275638576,-0.0572183913733,0.0,455.2454013784922,453.0385717088834,454.30763810439055,453.0186093127993
1.9200000000000013,-0.111736121392,0.240281233288,14.5085482859,0.0391035162481,6.26371982841,0.0,-0.0162910996683,0.463995026496,4.39406649055,-0.0272630467109,-0.0341846264426,0.0,431.58474035386473,433.52304838670807,434.10608491869647,435.7105351614804
1.9800000000000013,-0.112345842558,0.268837887194,14.7730656703,0.0383490505042,6.26147116354,0.0,-0.0038392099915,0.487785136461,4.42306532743,0.00701191162415,-0.045045138709,0.0,432.82879641469924,431.91297425936915,431.8260297574161,434.70799034303843
2.0400000000000014,-0.112143657439,0.298849378053,15.0402603382,0.0388744967186,6.25863494342,0.0,0.0108392841486,0.51263148802,4.4831771858,0.0120380265019,-0.0521384648531,0.0,442.77761018037836,442.1922338929097,443.3526249268726,443.7653137772888
